Telescope :,Gemini,,Instrument :,Flamingos II,Flamingos 2,,,,,,,,,,,,,,
Obj. Name,Date,FITS #,Program ID,Exposure (s),Filter,Local Time,Airmass,Seeing,Type,Flat #,Telluric # (Or BMAG;VMAG),Lamps #,Darks Program ID,Darks Date,Darks #,abba patterns,Reduce ? (0/1),Binary ?,Comments
DARKS,130927,37-42;134-217;238-255,GS-2013B-Q-79,,…,,,,Calibrations,…,…,…,…,…,…,x,x,x,Some files were moved from other dates
##########################################################################################################################################################################################################################################################################################,,,,,,,,,,,,,,,,,,,
HIP 111127,130927,56-59,GS-2013B-Q-79,,JH,,,,Telluric,84,A0.5,83,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
HIP 111127,130927,60-63,GS-2013B-Q-79,,HK,,,,Telluric,94,A0.5,93,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
J2235-3844,130927,75-82,GS-2013B-Q-79,,JH,,,,Science,84,56-59,83,GS-2013B-Q-79,130927,37-42;134-217;238-255,aabbabba,done,0,
J2235-3844,130927,85-92,GS-2013B-Q-79,,HK,,,,Science,94,60-63,93,GS-2013B-Q-79,130927,37-42;134-217;238-255,abbaabba,done,0,
Argon,130927,83,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,130927,84,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
Argon,130927,93,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,130927,94,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
HIP 6364,130927,126-129,GS-2013B-Q-79,,JH,,,,Telluric,112,A0,111,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
