Telescope :,Gemini,,Instrument :,Flamingos II,Flamingos 2,,,,,,,,,,,,,,
Obj. Name,Date,FITS #,Program ID,Exposure (s),Filter,Local Time,Airmass,Seeing,Type,Flat #,Telluric # (Or BMAG;VMAG),Lamps #,Darks Program ID,Darks Date,Darks #,abba patterns,Reduce ? (0/1),Binary ?,Comments
DARKS,130927,37-42;134-217;238-255,GS-2013B-Q-79,,…,,,,Calibrations,…,…,…,…,…,…,x,x,x,Some files were moved from other dates
##########################################################################################################################################################################################################################################################################################,,,,,,,,,,,,,,,,,,,
HIP 115488,131021,4-7,GS-2013B-Q-79,,JH,,,,Telluric,22,A2.5,21,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
HIP 115488,131021,8-11,GS-2013B-Q-79,,HK,,,,Telluric,28,A2.5,27,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
2MASS J23225299-6151275,131021,17-20,GS-2013B-Q-79,,JH,,,,Science,22,4-7,21,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
2MASS J23225299-6151275,131021,23-26,GS-2013B-Q-79,,HK,,,,Science,28,8-11,27,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
Argon,131021,21,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131021,22,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
Argon,131021,27,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131021,28,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
##########################################################################################################################################################################################################################################################################################,,,,,,,,,,,,,,,,,,,
